subj_Cumulative_Error_Features,subj_Cumulative_Error_AvgSHAP,subj_Cumulative_Error_ZScore,subj_GlideSlope_Error_Features,subj_GlideSlope_Error_AvgSHAP,subj_GlideSlope_Error_ZScore,subj_Localizer_Error_Features,subj_Localizer_Error_AvgSHAP,subj_Localizer_Error_ZScore,subj_Airspeed_Error_Features,subj_Airspeed_Error_AvgSHAP,subj_Airspeed_Error_ZScore,all_Cumulative_Error_Features,all_Cumulative_Error_AvgSHAP,all_Cumulative_Error_ZScore,all_GlideSlope_Error_Features,all_GlideSlope_Error_AvgSHAP,all_GlideSlope_Error_ZScore,all_Localizer_Error_Features,all_Localizer_Error_AvgSHAP,all_Localizer_Error_ZScore,all_Airspeed_Error_Features,all_Airspeed_Error_AvgSHAP,all_Airspeed_Error_ZScore
flight_hours-Count,1163.972272,3.814163854,flight_hours-Count,184.6729894,3.35745572,flight_hours-Count,230.7849225,3.632093656,gaze_direction_r_x_mm-Skew,64.6993302,2.313526338,flight_hours-Count,1062.181544,4.360859975,aircraft_aileron_trim-Median,225.6058756,4.310043152,flight_hours-Count,227.4413379,3.419435746,ecg_projection_vx_rl_mV-AvgAbsDiff,59.8967155,2.258786543
gaze_origin_r_z_mm-FPC1,177.3564722,0.079208956,ecg_projection_vx_rl_mV-SD,82.60355641,0.62596617,ecg_projection_ll_ra_mV-Max,145.1666372,1.960556553,ecg_projection_vx_rl_mV-AvgAbsDiff,63.56743168,2.22349625,ecg_projection_la_ra_mV-Range,199.8925831,0.369289157,flight_hours-Count,146.2274487,2.535560857,ecg_projection_ll_ra_mV-Max,165.1062711,2.26544733,aircraft_longitude_deg-FPC3,48.40303658,1.397072551
ecg_projection_la_ra_mV-Range,176.8420714,0.077261629,pilot_head_pitch_deg-FPC3,81.32981288,0.591879401,ecg_projection_la_ra_mV-Skew,71.06575386,0.51387521,gaze_origin_r_x_mm-Max,52.37551668,1.333302402,aircraft_elevation_trim-FPC2,191.7646509,0.331664627,aircraft_aileron_trim-FPC6,45.87474034,0.292204427,ecg_projection_la_ra_mV-Skew,113.4020025,1.308263356,gaze_origin_r_x_mm-Mean,48.23588836,1.384540971
ecg_projection_vx_rl_mV-AvgAbsDiff,141.4185863,-0.05683831,ecg_projection_ll_ra_mV-IQR,63.88996308,0.125169966,ecg_projection_ll_ra_mV-MedAbsDev,58.41191519,0.266832645,gaze_origin_r_x_mm-Mean,51.60055411,1.271662646,gaze_origin_r_z_mm-FPC1,132.6532372,0.058035478,aircraft_elevation_trim-FPC2,44.68091308,0.265516757,ecg_projection_ll_ra_mV-FPC2,51.19395809,0.156626464,aircraft_longitude_deg-Min,47.14229965,1.302551496
pilot_head_pitch_deg-Skew,139.0755334,-0.065708224,pilot_head_position_v_m-Mean,61.58196047,0.063405294,ecg_projection_ll_ra_mV-FPC2,57.20111746,0.243194081,ecg_projection_vx_rl_mV-FPC1,40.48018235,0.387159277,ecg_projection_ll_ra_mV-Max,106.0357234,-0.06517808,pilot_head_pitch_deg-AvgAbsDiff,30.93293081,-0.041815501,ecg_projection_ll_ra_mV-MedAbsDev,41.43193036,-0.024094717,ecg_projection_vx_rl_mV-FPC1,43.60098193,1.037048775
ecg_projection_vx_rl_mV-Median,105.3029597,-0.193558436,ecg_projection_la_ra_mV-Min,56.10725814,-0.083103722,ecg_projection_la_ra_mV-Range,51.82421091,0.138220023,eda_hand_l_kOhms-Max,39.88763202,0.34002841,ecg_projection_vx_rl_mV-AvgAbsDiff,91.12675097,-0.134192322,pilot_head_position_v_m-Mean,29.38831736,-0.076344898,gaze_direction_l_x_mm-Range,37.65597657,-0.093997697,gaze_direction_r_x_mm-Skew,43.591793,1.036359855
eye_openness_r-FPC1,102.4051249,-0.204528545,ecg_projection_vx_rl_mV-Max,55.46641779,-0.10025331,ecg_projection_ll_ra_mV-FPC3,44.15086268,-0.011587769,ecg_projection_la_ra_mV-AvgAbsDiff,38.78852033,0.252606153,aircraft_aileron_trim-Range,90.76301098,-0.13587609,ecg_projection_la_ra_mV-Range,28.9682308,-0.085735814,ecg_projection_ll_ra_mV-FPC3,32.31198684,-0.192929206,aircraft_aileron_trim-Max,42.4852053,0.953395809
ecg_projection_ll_ra_mV-Max,81.47020336,-0.283780253,pupil_position_r_z-FPC1,50.33147344,-0.237670031,gaze_direction_l_x_mm-Range,37.35484455,-0.144267329,accelerometry_forearm_r_y_mps2-AboveMean,38.78454349,0.25228984,pilot_head_pitch_deg-Skew,66.27646552,-0.249225309,eye_openness_r-Mean,25.87051463,-0.154984384,ecg_projection_la_ra_mV-MedAbsDev,30.70649814,-0.222651086,aircraft_longitude_deg-FPC1,41.33457145,0.867129498
ecg_projection_la_ra_mV-Skew,73.41037508,-0.31429172,gaze_origin_r_z_mm-FPC1,43.91768501,-0.409310018,ecg_projection_vx_rl_mV-AvgAbsDiff,28.46391212,-0.317846179,gaze_direction_l_z_mm-FPC2,37.64057402,0.16129964,eye_openness_r-FPC1,65.71284869,-0.251834314,aircraft_aileron_trim-FPC4,25.8037704,-0.156476432,ecg_projection_la_ra_mV-Range,29.25861959,-0.249455181,accelerometry_forearm_r_y_mps2-AboveMean,38.70378451,0.669891874
pupil_position_l_y-AvgAbsDiff,63.68058537,-0.35112503,gaze_direction_r_z_mm-FPC2,42.34905028,-0.451288397,ecg_projection_la_ra_mV-MedAbsDev,27.28630101,-0.340836836,gaze_direction_l_x_mm-TimeAbsDiff,35.14609407,-0.037108827,aircraft_aileron_trim-FPC6,60.00584586,-0.278252263,ecg_projection_vx_rl_mV-SD,25.40223294,-0.165452689,eye_openness_r-Mean,28.46225936,-0.264197934,ecg_projection_la_ra_mV-Range,36.1171196,0.475962205
