Subject,Date,Run,Difficulty,GlideSlope_Error,Localizer_Error,Airspeed_Error,Cumulative_Error,Cumulative_Error_Rounded
6,20210324,1,1,203.456,199.4047,373.6046,776.4653,1000
6,20210324,2,3,391.4315,401.2497,677.8375,1470.5187,1000
6,20210324,3,2,172.1926,329.85,610.4606,1112.5033,1000
6,20210324,4,4,582.6808,659.4551,643.9729,1886.1088,2000
6,20210324,5,3,550.4646,411.0079,853.1621,1814.6345,2000
6,20210324,6,4,548.8352,588.3268,894.3744,2031.5364,2000
6,20210324,7,1,318.2534,132.9099,567.3086,1018.4719,1000
6,20210324,8,2,348.5427,260.7242,651.9598,1261.2267,1000
6,20210324,9,4,411.1305,448.475,881.826,1741.4316,2000
6,20210324,10,2,235.9145,238.0862,495.9851,969.9858,1000
6,20210324,11,3,242.3907,306.1172,546.0685,1094.5764,1000
6,20210324,12,1,209.3838,85.1096,508.0353,802.5287,1000
8,20210503,1,1,1065.0938,343.5734,527.1117,1935.779,2000
8,20210503,2,3,1162.306,464.5624,343.4755,1970.3438,2000
8,20210503,3,2,1027.0278,203.4173,253.3009,1483.746,1000
8,20210503,4,4,1370.5368,887.915,1457.1515,3715.6033,4000
8,20210503,5,3,365.9724,444.2024,349.1133,1159.288,1000
8,20210503,6,4,751.0386,745.3826,1511.194,3007.6152,3000
8,20210503,7,1,360.7278,207.7389,1034.8498,1603.3166,2000
8,20210503,8,2,348.128,204.4157,161.9779,714.5216,1000
8,20210503,9,4,886.0342,674.3033,2292.0781,3852.4156,4000
8,20210503,10,2,443.5147,166.6977,226.9488,837.1612,1000
8,20210503,11,3,212.1626,391.3774,304.1922,907.7323,1000
8,20210503,12,1,445.9859,201.2434,598.3131,1245.5424,1000
12,20210723,1,1,354.0353,217.534,1120.9218,1692.4911,2000
12,20210723,2,3,384.0153,357.209,1443.5578,2184.7821,2000
12,20210723,3,2,274.7425,303.9698,1009.6247,1588.3371,2000
12,20210723,4,4,572.9361,749.8827,1909.1243,3231.9431,3000
12,20210723,5,3,251.6107,330.9875,752.3746,1334.9727,1000
12,20210723,6,4,340.777,607.5794,1101.3016,2049.658,2000
12,20210723,7,1,245.6786,203.6885,777.9903,1227.3574,1000
12,20210723,8,2,174.3309,312.6753,821.0764,1308.0826,1000
12,20210723,9,4,330.3301,620.6762,808.5627,1759.569,2000
12,20210723,10,2,204.1646,217.6826,836.7254,1258.5727,1000
12,20210723,11,3,297.2167,417.0496,538.6007,1252.867,1000
12,20210723,12,1,194.1812,215.8816,823.8146,1233.8774,1000
13,20210319,1,1,1541.1145,1553.8531,1026.6035,4121.5711,4000
13,20210319,3,2,2324.5118,2743.1162,1666.7682,6734.3963,7000
13,20210319,4,4,2374.614,899.7853,1711.6899,4986.0893,5000
13,20210319,5,3,3828.5552,4148.774,3538.816,11516.1452,12000
13,20210319,6,4,2454.6306,699.5248,1561.7529,4715.9083,5000
13,20210319,7,1,2702.8484,1282.3931,2903.0924,6888.3338,7000
13,20210319,9,4,1977.0543,1937.0258,1172.7965,5086.8767,5000
13,20210319,10,2,2433.3818,5798.3313,3312.1992,11543.9123,12000
13,20210319,11,3,2739.4076,3389.8153,2559.2193,8688.4422,9000
13,20210319,12,1,2307.2775,1709.0898,2177.9591,6194.3264,6000
15,20210504,1,1,737.5792,225.2746,502.0559,1464.9097,1000
15,20210504,2,3,795.7377,699.2467,278.9551,1773.9395,2000
15,20210504,3,2,451.2045,350.3379,204.8067,1006.3491,1000
15,20210504,4,4,1295.5652,1486.3774,912.3406,3694.2832,4000
15,20210504,5,3,1282.7439,589.5704,1302.0914,3174.4057,3000
15,20210504,6,4,3049.1945,2537.5045,1845.9125,7432.6115,7000
15,20210504,7,1,613.225,231.4558,1340.6286,2185.3094,2000
15,20210504,8,2,948.06,361.1769,795.5338,2104.7707,2000
15,20210504,9,4,2204.0636,663.5998,1213.6038,4081.2672,4000
15,20210504,10,2,856.4679,340.2262,1362.6153,2559.3094,3000
15,20210504,11,3,507.6729,389.2427,1868.6922,2765.6078,3000
15,20210504,12,1,548.2175,174.5483,1408.343,2131.1088,2000
25,20210820,1,1,2189.1802,233.5054,2198.7959,4621.4815,5000
25,20210820,2,3,867.9969,473.8897,340.0609,1681.9474,2000
25,20210820,3,2,1119.6553,451.6615,1204.8266,2776.1435,3000
25,20210820,4,4,4383.3979,677.8456,2958.5716,8019.8151,8000
25,20210820,5,3,1166.15,676.183,1512.7701,3355.1031,3000
25,20210820,6,4,481.6028,840.9724,1494.4636,2817.0388,3000
25,20210820,7,1,1241.9351,340.0722,1682.4173,3264.4246,3000
25,20210820,8,2,322.5919,304.4338,897.8863,1524.912,2000
25,20210820,9,4,964.6349,849.086,2032.4157,3846.1366,4000
25,20210820,10,2,496.7618,268.6479,876.7094,1642.119,2000
25,20210820,11,3,379.4229,378.6153,1182.9348,1940.973,2000
25,20210820,12,1,977.6613,446.1117,1535.8653,2959.6384,3000
