Subject,Date,Run,Difficulty,GlideSlope_Error,Localizer_Error,Airspeed_Error,Cumulative_Error,Cumulative_Error_Rounded
4,20210330,1,1,538.5233,431.9424,1043.2834,2013.749,2000
4,20210330,2,3,917.1242,1203.5185,933.2862,3053.9289,3000
4,20210330,3,2,1077.0283,817.9978,777.873,2672.8991,3000
4,20210330,4,4,1491.7012,1000.665,2744.7328,5237.099,5000
4,20210330,5,3,1080.7455,693.7519,890.1639,2664.6613,3000
4,20210330,6,4,990.4776,736.9697,2687.5941,4415.0413,4000
4,20210330,7,1,1001.7485,248.7387,1047.5136,2298.0008,2000
4,20210330,8,2,711.3373,242.2474,289.6599,1243.2447,1000
4,20210330,9,4,1100.8478,1147.565,2088.0133,4336.426,4000
4,20210330,10,2,584.109,1004.5019,360.8895,1949.5005,2000
4,20210330,11,3,617.4196,417.2222,741.7871,1776.4288,2000
4,20210330,12,1,682.7398,385.7196,1055.6408,2124.1002,2000
9,20210129,5,3,2671.4134,3419.6443,577.1755,6668.2332,7000
9,20210129,6,4,2082.7831,1796.6463,745.8956,4625.325,5000
9,20210129,7,1,1992.9111,4352.7626,1015.511,7361.1848,7000
9,20210129,8,2,2013.6127,3156.5062,516.9202,5687.0391,6000
9,20210129,9,4,1707.0599,2155.1952,631.1913,4493.4464,4000
9,20210129,10,2,2163.5819,1423.8018,208.1641,3795.5479,4000
9,20210129,11,3,575.8073,2299.3103,418.8837,3294.0012,3000
9,20210129,12,1,2397.8686,1499.6702,1205.241,5102.7798,5000
11,20210408,1,1,1364.8435,451.1763,2064.0204,3880.0402,4000
11,20210408,2,3,856.445,1769.8651,1210.7354,3837.0455,4000
11,20210408,3,2,2436.5458,4301.8578,4079.4003,10817.8039,11000
11,20210408,5,3,943.48,2391.9457,2409.172,5744.5977,6000
11,20210408,6,4,2662.9562,2556.3358,1722.5104,6941.8024,7000
11,20210408,7,1,1653.8102,545.2243,2882.7395,5081.774,5000
11,20210408,8,2,525.7866,618.4915,458.0217,1602.2998,2000
11,20210408,9,4,2053.9969,834.6455,2345.3182,5233.9606,5000
11,20210408,10,2,750.6756,881.5117,313.811,1945.9984,2000
11,20210408,11,3,3897.8641,1267.6433,2776.1144,7941.6219,8000
11,20210408,12,1,2179.4744,179.6461,2353.5159,4712.6365,5000
16,20210528,1,1,364.4608,247.2806,590.3224,1202.0639,1000
16,20210528,2,3,433.2065,440.8757,1256.0747,2130.1569,2000
16,20210528,3,2,379.8742,280.1063,916.1184,1576.0989,2000
16,20210528,4,4,652.495,402.3463,601.854,1656.6954,2000
16,20210528,5,3,337.3648,286.2294,653.635,1277.2292,1000
16,20210528,6,4,370.7047,258.9861,938.1014,1567.7923,2000
16,20210528,7,1,371.1493,181.6058,750.9543,1303.7094,1000
16,20210528,8,2,379.0453,210.8798,502.8462,1092.7714,1000
16,20210528,9,4,200.5527,227.7901,1442.772,1871.1148,2000
16,20210528,10,2,374.9492,119.9755,624.4672,1119.3918,1000
16,20210528,11,3,247.0837,142.6393,804.4433,1194.1663,1000
16,20210528,12,1,374.9224,92.5562,1291.8646,1759.3432,2000
17,20210521,1,1,854.7512,308.2227,1133.1682,2296.1421,2000
17,20210521,2,3,397.0681,722.29,599.9333,1719.2913,2000
17,20210521,3,2,357.1185,379.5891,657.0672,1393.7748,1000
17,20210521,4,4,1102.3634,1159.186,689.7709,2951.3203,3000
17,20210521,5,3,659.6099,486.4348,767.8633,1913.908,2000
17,20210521,6,4,852.9946,986.3232,719.2155,2558.5333,3000
17,20210521,7,1,620.6364,151.9469,827.6302,1600.2135,2000
17,20210521,8,2,517.0412,270.99,1009.7044,1797.7355,2000
17,20210521,9,4,779.3947,1193.5881,683.6677,2656.6506,3000
17,20210521,10,2,757.4439,275.5505,527.7044,1560.6988,2000
17,20210521,11,3,588.3722,516.202,572.5934,1677.1677,2000
17,20210521,12,1,489.3174,191.4496,1090.6572,1771.4242,2000
18,20210709,1,1,268.385,254.5807,592.8609,1115.8266,1000
18,20210709,2,3,233.4384,338.8874,832.9968,1405.3226,1000
18,20210709,3,2,149.2076,158.7681,598.9847,906.9603,1000
18,20210709,4,4,468.7882,456.034,1068.695,1993.5172,2000
18,20210709,5,3,186.6684,234.6065,641.5328,1062.8077,1000
18,20210709,6,4,290.2181,338.7313,566.7905,1195.7399,1000
18,20210709,7,1,223.8873,118.8267,495.5868,838.3008,1000
18,20210709,8,2,198.9897,144.9092,587.947,931.8458,1000
18,20210709,9,4,454.5494,361.2055,1008.7215,1824.4764,2000
18,20210709,10,2,241.5672,182.7678,675.077,1099.412,1000
18,20210709,11,3,219.5081,210.6115,707.7929,1137.9125,1000
18,20210709,12,1,228.539,84.5424,542.1954,855.2768,1000
19,20210625,1,1,787.6166,1294.3762,1093.5623,3175.5551,3000
19,20210625,2,3,4814.564,2464.4401,3545.169,10824.1731,11000
19,20210625,3,2,2024.4464,1403.5112,2695.5469,6123.5045,6000
19,20210625,4,4,1283.3875,1783.6071,4456.2498,7523.2445,8000
19,20210625,5,3,648.7207,2107.4294,2374.9705,5131.1206,5000
19,20210625,6,4,2421.3835,2387.5524,3472.5567,8281.4926,8000
19,20210625,7,1,920.5752,1664.7139,931.2956,3516.5848,4000
19,20210625,8,2,468.3028,1036.1901,2321.364,3825.8569,4000
19,20210625,9,4,1113.1153,1841.3394,4289.3983,7243.853,7000
19,20210625,10,2,731.0324,835.1192,1703.9501,3270.1017,3000
19,20210625,11,3,857.8441,1653.5345,2728.1619,5239.5405,5000
19,20210625,12,1,886.6653,528.2949,1624.4246,3039.3848,3000
20,20210604,1,1,1044.137,249.2425,1636.7913,2930.1708,3000
20,20210604,2,3,766.6362,167.4978,1178.7692,2112.9032,2000
20,20210604,3,2,981.4306,435.799,1361.5741,2778.8037,3000
20,20210604,4,4,1555.4372,1423.8401,1589.3847,4568.662,5000
20,20210604,5,3,1196.9255,430.3907,531.48,2158.7961,2000
20,20210604,6,4,2375.7644,745.0107,1363.2171,4483.9922,4000
20,20210604,7,1,961.5468,296.9044,2013.5463,3271.9976,3000
20,20210604,8,2,450.5569,366.176,2016.8317,2833.5646,3000
20,20210604,9,4,2005.3099,878.5377,2463.1383,5346.9859,5000
20,20210604,10,2,797.7726,285.4044,2864.2724,3947.4493,4000
20,20210604,11,3,2686.8405,754.4832,1794.2933,5235.617,5000
20,20210604,12,1,1450.4299,216.6407,4262.0481,5929.1188,6000
22,20210621,1,1,1736.9249,615.1176,1348.5615,3700.604,4000
22,20210621,2,3,1066.2568,1874.0538,1713.5661,4653.8768,5000
22,20210621,3,2,386.9891,1302.7853,685.1616,2374.936,2000
22,20210621,4,4,1302.3887,2241.5336,1827.1121,5371.0344,5000
22,20210621,5,3,1388.2619,704.6031,1422.8882,3515.7532,4000
22,20210621,6,4,1162.1016,1246.0737,1404.6522,3812.8275,4000
22,20210621,7,1,222.249,225.8391,568.3388,1016.4268,1000
22,20210621,8,2,912.0298,960.6408,1884.1267,3756.7973,4000
22,20210621,9,4,853.9938,1305.3292,1424.0494,3583.3725,4000
22,20210621,10,2,634.6695,800.3043,1261.7509,2696.7247,3000
22,20210621,11,3,759.8728,629.3149,1671.3792,3060.5669,3000
22,20210621,12,1,324.3618,341.694,882.5306,1548.5864,2000
23,20210628,1,1,3449.342,421.4704,824.3803,4695.1927,5000
23,20210628,2,3,1063.5824,686.9251,710.436,2460.9435,2000
23,20210628,3,2,1111.5625,1057.7527,1337.6757,3506.9909,4000
23,20210628,4,4,3006.3787,1334.31,1901.4265,6242.1152,6000
23,20210628,5,3,1251.9058,2311.8988,2087.2568,5651.0614,6000
23,20210628,6,4,2235.5433,1921.971,1978.5879,6136.1022,6000
23,20210628,7,1,1711.7774,1094.6603,944.1258,3750.5636,4000
23,20210628,8,2,1075.1036,2764.604,464.8578,4304.5653,4000
23,20210628,9,4,3206.5242,2896.4634,1891.335,7994.3226,8000
23,20210628,10,2,417.453,4605.4882,536.6833,5559.6246,6000
23,20210628,11,3,2199.5406,688.4112,2409.0582,5297.0101,5000
23,20210628,12,1,1683.5861,1903.0514,1798.1147,5384.7522,5000
24,20210629,1,1,1833.4721,5311.3998,1222.1162,8366.9881,8000
24,20210629,3,2,2154.943,1835.2268,306.6326,4296.8024,4000
24,20210629,4,4,4541.0669,3281.7615,1647.19,9470.0184,9000
24,20210629,5,3,2381.6276,2769.6683,503.2544,5654.5502,6000
